country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",09-03-2025 20:00:00,22.9682591,76.064118,NO2,76,130,99
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",09-03-2025 20:00:00,22.9682591,76.064118,SO2,3,90,42
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",09-03-2025 20:00:00,26.203442,78.193251,PM2.5,9,308,84
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",09-03-2025 20:00:00,26.203442,78.193251,CO,34,104,40
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",09-03-2025 20:00:00,34.066206,74.819820,NO2,21,21,21
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",09-03-2025 20:00:00,12.9135218,77.5950804,PM10,106,158,123
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",09-03-2025 20:00:00,12.9135218,77.5950804,CO,20,36,23
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",09-03-2025 20:00:00,12.951913,77.539784,NO2,11,12,12
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",09-03-2025 20:00:00,12.9756843,77.5660749,SO2,7,18,12
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",09-03-2025 20:00:00,13.029152,77.585901,PM2.5,62,245,129
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",09-03-2025 20:00:00,13.029152,77.585901,PM10,100,162,125
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",09-03-2025 20:00:00,13.029152,77.585901,SO2,7,13,10
